,centroids_dimension,ch1_t_start,ch1_t_end,ch2_t_start,ch2_t_end,elapsed_transition_time,ch1_tot_flows,ch2_tot_flows,tot_flows_balance,ch1_clusters_n,ch2_clusters_n,clusters_balance,noise_balance,all_dists_avg,all_dists_std,all_dists_deciles,mutual_matches_n,mutual_matches_percentage,mutual_vects_avg,mutual_vects_std,mutual_vects_decile_1,mutual_vects_decile_2,mutual_vects_decile_3,mutual_vects_decile_4,mutual_vects_decile_5,mutual_vects_decile_6,mutual_vects_decile_7,mutual_vects_decile_8,mutual_vects_decile_9,mutual_vects_decile_10,fwd_matches_n,fwd_matches_percentage,fwd_matches_agglomeration_avg,fwd_matches_agglomeration_std,fwd_matches_agglomeration_max,fwd_matches_agglomeration_max_percentage,fwd_matches_agglomeration_max_col_cluster,fwd_vects_avg,fwd_vects_std,fwd_vects_decile_1,fwd_vects_decile_2,fwd_vects_decile_3,fwd_vects_decile_4,fwd_vects_decile_5,fwd_vects_decile_6,fwd_vects_decile_7,fwd_vects_decile_8,fwd_vects_decile_9,fwd_vects_decile_10,bwd_matches_n,bwd_matches_percentage,bwd_matches_agglomeration_avg,bwd_matches_agglomeration_std,bwd_matches_agglomeration_max,bwd_matches_agglomeration_max_percentage,bwd_matches_agglomeration_max_row_cluster,bwd_vects_avg,bwd_vects_std,bwd_vects_decile_1,bwd_vects_decile_2,bwd_vects_decile_3,bwd_vects_decile_4,bwd_vects_decile_5,bwd_vects_decile_6,bwd_vects_decile_7,bwd_vects_decile_8,bwd_vects_decile_9,bwd_vects_decile_10
0,8,1637244634.0,1637244634.0,1637244954.0,1637245083.0,320.0,2,1290,1288,1,4,3,0.0,1.1350463884907906,0.07218789838140284,"[1.0521612500338646, 1.0841940206358536, 1.1162267912378425, 1.140798497187418, 1.1616396708107866, 1.1824808444341552, 1.1964152374557324, 1.1965360692737261, 1.1966569010917198, 1.1967777329097136]",1,0.25,"[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]","[-0.9214823711412843, 0.20085047961146296, 1.4210854715202004e-14, 1.3877787807814457e-17, -0.2775477832070911, 0.2723208899451194, 0.18195736329255716, 0.1285066284774141]",0,0.0,0.0,0.0,0,0.0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3,0.75,3.0,0.0,3,1.0,0,"[-0.9749016390335322, 0.20085047961146274, 2.3684757858670007e-14, 0.07417927439579004, -0.2784226383157029, 0.5475899902316442, 0.0009231216448784964, 0.0006084029976165113]","[0.03777312657262987, 0.0, 6.6990611570507735e-15, 0.052452667948760794, 0.0006186159798551061, 0.002316887638266518, 0.0013054911499073294, 0.0008604117706177162]","[-1.0016112729796565, 0.20085047961146274, 1.7053025658242404e-14, 0.02225378231873701, -0.27886006587000883, 0.5457068220760921, 0.0, 0.0]","[-1.0016112729796565, 0.20085047961146274, 1.9895196601282804e-14, 0.04450756463747403, -0.27886006587000883, 0.545883369090675, 0.0, 0.0]","[-1.0016112729796565, 0.20085047961146274, 2.2737367544323207e-14, 0.06676134695621104, -0.27886006587000883, 0.5460599161052581, 0.0, 0.0]","[-1.0016112729796565, 0.20085047961146274, 2.5579538487363607e-14, 0.08901512927494806, -0.27886006587000883, 0.546236463119841, 0.0, 0.0]","[-1.0016112729796565, 0.20085047961146274, 2.842170943040401e-14, 0.11126891159368509, -0.27886006587000883, 0.546413010134424, 0.0, 0.0]","[-0.9855854926119818, 0.20085047961146274, 2.842170943040401e-14, 0.11126891159368509, -0.2785976093374253, 0.547295745207339, 0.0005538729869270977, 0.00036504179856990674]","[-0.9695597122443073, 0.20085047961146274, 2.842170943040401e-14, 0.11126891159368509, -0.2783351528048417, 0.5481784802802542, 0.0011077459738541955, 0.0007300835971398135]","[-0.9535339318766326, 0.20085047961146274, 2.842170943040401e-14, 0.11126891159368509, -0.2780726962722582, 0.5490612153531692, 0.0016616189607812936, 0.0010951253957097204]","[-0.937508151508958, 0.20085047961146274, 2.842170943040401e-14, 0.11126891159368509, -0.27781023973967467, 0.5499439504260843, 0.0022154919477083914, 0.0014601671942796272]","[-0.9214823711412834, 0.20085047961146274, 2.842170943040401e-14, 0.11126891159368509, -0.2775477832070911, 0.5508266854989994, 0.002769364934635489, 0.001825208992849534]"
1,8,1637244954.0,1637245083.0,1637245234.0,1637245254.0,151.0,1290,210,-1080,4,3,-1,0.0,0.4148768353129481,0.11195176922985957,"[0.22536352095772538, 0.2710443265908408, 0.4513424427814718, 0.4519603573325123, 0.4524017248689698, 0.4670549539807223, 0.47712135464494165, 0.4991084374779299, 0.5164152979851072, 0.5185858395302347]",1,0.16666666666666666,"[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]","[-0.08012890183837174, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, -0.0013122826629176979, -0.17786823714320765, -0.18195736329255716, -0.1285066284774141]",3,0.5,1.0,1.4142135623730951,3,1.0,2,"[-0.026709633946123912, 0.0, -2.3684757858670007e-14, 0.037089637197895035, -0.0004374275543059016, -0.45313733742973233, -0.0009231216448784964, -0.0006084029976165113]","[0.03777312657262988, 0.0, 6.6990611570507735e-15, 0.052452667948760794, 0.0006186159798550898, 0.0023168876382665274, 0.0013054911499073294, 0.0008604117706177162]","[-0.06410312147069801, 0.0, -2.842170943040401e-14, -1.0842021724855044e-19, -0.001049826130334154, -0.45549129762417256, -0.0022154919477083914, -0.0014601671942796272]","[-0.0480773411030234, 0.0, -2.842170943040401e-14, -1.0842021724855044e-19, -0.0007873695977506173, -0.4546085625512575, -0.0016616189607812934, -0.0010951253957097204]","[-0.03205156073534878, 0.0, -2.842170943040401e-14, -1.0842021724855044e-19, -0.0005249130651670805, -0.4537258274783424, -0.0011077459738541957, -0.0007300835971398136]","[-0.016025780367674165, 0.0, -2.842170943040401e-14, -1.0842021724855044e-19, -0.00026245653258354367, -0.4528430924054273, -0.0005538729869270977, -0.00036504179856990674]","[4.440892098500626e-16, 0.0, -2.842170943040401e-14, -1.0842021724855044e-19, -6.938893903907228e-18, -0.4519603573325122, 0.0, 0.0]","[4.440892098500626e-16, 0.0, -2.5579538487363607e-14, 0.022253782318737016, -6.938893903907228e-18, -0.45178381031792925, 0.0, 0.0]","[4.440892098500626e-16, 0.0, -2.2737367544323207e-14, 0.04450756463747403, -6.938893903907228e-18, -0.4516072633033463, 0.0, 0.0]","[4.440892098500626e-16, 0.0, -1.9895196601282804e-14, 0.06676134695621107, -6.938893903907228e-18, -0.4514307162887633, 0.0, 0.0]","[4.440892098500626e-16, 0.0, -1.7053025658242404e-14, 0.08901512927494809, -6.938893903907228e-18, -0.45125416927418033, 0.0, 0.0]","[4.440892098500626e-16, 0.0, -1.4210854715202004e-14, 0.1112689115936851, -6.938893903907228e-18, -0.45107762225959736, 0.0, 0.0]",2,0.3333333333333333,0.5,0.8660254037844386,2,1.0,3,"[-0.040064450919185646, -2.220446049250313e-16, -1.4210854715202004e-14, 0.05563445579684253, -0.0006561413314588455, -0.20239348744488717, -0.1663274028482075, -0.11753416260221364]","[0.04006445091918609, 0.0, 0.0, 0.05563445579684254, 0.0006561413314588524, 0.023642515228764482, 0.015629960444349666, 0.010972465875200461]","[-0.07211601165453452, -2.220446049250313e-16, -1.4210854715202004e-14, 0.011126891159368496, -0.0011810543966259274, -0.22130749962789875, -0.17883137120368722, -0.126312135302374]","[-0.0641031214706973, -2.220446049250313e-16, -1.4210854715202004e-14, 0.022253782318737005, -0.001049826130334157, -0.21657899658214586, -0.1757053791148173, -0.12411764212733391]","[-0.05609023128686008, -2.220446049250313e-16, -1.4210854715202004e-14, 0.03338067347810551, -0.0009185978640423864, -0.21185049353639296, -0.17257938702594736, -0.12192314895229381]","[-0.048077341103022864, -2.220446049250313e-16, -1.4210854715202004e-14, 0.044507564637474024, -0.0007873695977506159, -0.20712199049064006, -0.16945339493707742, -0.11972865577725372]","[-0.040064450919185646, -2.220446049250313e-16, -1.4210854715202004e-14, 0.05563445579684253, -0.0006561413314588455, -0.20239348744488717, -0.1663274028482075, -0.11753416260221364]","[-0.03205156073534843, -2.220446049250313e-16, -1.4210854715202004e-14, 0.06676134695621103, -0.000524913065167075, -0.19766498439913427, -0.16320141075933756, -0.11533966942717354]","[-0.024038670551511213, -2.220446049250313e-16, -1.4210854715202004e-14, 0.07788823811557954, -0.00039368479887530455, -0.19293648135338137, -0.16007541867046762, -0.11314517625213345]","[-0.01602578036767399, -2.220446049250313e-16, -1.4210854715202004e-14, 0.08901512927494806, -0.00026245653258353396, -0.18820797830762848, -0.1569494265815977, -0.11095068307709335]","[-0.008012890183836772, -2.220446049250313e-16, -1.4210854715202004e-14, 0.10014202043431657, -0.0001312282662917635, -0.18347947526187558, -0.15382343449272776, -0.10875618990205325]","[4.440892098500626e-16, -2.220446049250313e-16, -1.4210854715202004e-14, 0.11126891159368507, 6.938893903907228e-18, -0.17875097221612268, -0.15069744240385782, -0.10656169672701317]"
2,8,1637245234.0,1637245254.0,1637245834.0,1637245858.0,580.0,210,11759,11549,3,14,11,0.0020409898800918445,3.4739958580054915,0.09374960638610515,"[3.3741870373250893, 3.4099088509512026, 3.4135903423274367, 3.422385765878238, 3.465751197716631, 3.4845347611971214, 3.494578507077328, 3.5491582443284324, 3.606426245792711, 3.6726292530918476]",1,0.06666666666666667,"[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]","[3.3286881305357237, 0.0, 0.0, -2.7755575615628914e-17, 0.0545144089553723, -0.04540215219855248, -0.031259920888699326, -0.021944931750400923]",2,0.13333333333333333,0.15384615384615385,0.5329387100211931,2,1.0,6,"[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09312855019253896, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.00044136753645751536, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09348164422170498, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09339337071441348, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09330509720712196, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09321682369983046, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09312855019253896, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09304027668524746, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09295200317795596, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09286372967066445, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09277545616337295, 0.0, 0.0]","[3.408817032374096, 0.0, 0.0, -0.11126891159368511, 0.05582669161829001, -0.09268718265608145, 0.0, 0.0]",12,0.8,4.0,5.656854249492381,12,1.0,0,"[3.4253192298586, -1.850371707708594e-17, 1.1842378929335002e-15, -1.0408340855860843e-17, 0.06086700203163575, -0.045878540081101656, -0.025687838580710012, -0.01788442000038642]","[0.08460920053797798, 6.136988677158578e-17, 7.006045856764369e-15, 1.2826009359230811e-17, 0.015821302833054333, 0.00042116776410594666, 0.018480506316578105, 0.01346719393162747]","[3.33870424326552, 0.0, 0.0, -2.6367796834847467e-17, 0.05467844428823701, -0.04628488727146751, -0.031259920888699326, -0.021944931750400923]","[3.347384874298011, 0.0, 0.0, -1.3877787807814457e-17, 0.05482060824338643, -0.04628488727146749, -0.031259920888699326, -0.021944931750400923]","[3.3821073984279724, 0.0, 0.0, -1.3877787807814457e-17, 0.05538926406398409, -0.0462848872714674, -0.031259920888699326, -0.021944931750400923]","[3.3914557703091157, 0.0, 0.0, -1.3877787807814457e-17, 0.05554236370799115, -0.04628488727146736, -0.031259920888699326, -0.021944931750400923]","[3.405478328130831, 0.0, 0.0, -1.3877787807814457e-17, 0.055772013174001746, -0.046053641811560186, -0.031259920888699326, -0.021944931750400923]","[3.410110464899573, 0.0, 0.0, -1.3877787807814457e-17, 0.05636254037231471, -0.045570249859792786, -0.031259920888699326, -0.021944931750400923]","[3.4498620699803477, 0.0, 0.0, -1.3877787807814457e-17, 0.056756225171190014, -0.045402152198552516, -0.031259920888699326, -0.021944931750400923]","[3.4655750045096103, 0.0, 0.0, -2.7755575615628815e-18, 0.05837470712212183, -0.04540215219855239, -0.031259920888699326, -0.021944931750400923]","[3.576753855810352, 0.0, 1.2789769243681808e-14, 1.2490009027033016e-17, 0.05877932760985479, -0.04540215219855237, -0.031259920888699326, -0.021944931750400923]","[3.5891070615104343, 0.0, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.11313906680972158, -0.04540215219855237, 0.03560506680717248, 0.026781209249773057]"
3,8,1637245834.0,1637245858.0,1637246137.0,1637246137.0,279.0,11759,2,-11757,14,1,-13,-0.0020409898800918445,2.5216944520785267,0.08496025684016037,"[2.4348792664451038, 2.442859541645919, 2.4687979886412186, 2.4860903482152135, 2.5093708651566233, 2.5107844816969678, 2.537560261571217, 2.569243254700552, 2.667725885559107, 2.692346672819754]",1,0.07692307692307693,"[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146274, 1.4210854715202004e-14, 1.3877787807814457e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]",12,0.9230769230769231,12.0,0.0,12,1.0,0,"[-2.520530379933644, -0.20085047961146266, -2.3684757858670005e-15, 1.1564823173178714e-17, 0.0510597734263854, -0.00047990844644232866, -0.005572082307989317, -0.004060511750014499]","[0.08460920053797798, 8.92216926358191e-17, 5.296072860260849e-15, 1.368368331399291e-17, 0.015821302833054326, 0.00042086020056539167, 0.018480506316578105, 0.013467193931627474]","[-2.671965005885396, -0.20085047961146274, -1.2789769243681802e-14, -1.249000902703301e-17, 0.053147447848166385, -0.0008827350729153638, 0.0, 0.0]","[-2.560786154584654, -0.20085047961146274, 0.0, 2.775557561562894e-18, 0.05355206833589934, -0.0008827350729153416, 0.0, 0.0]","[-2.5450732200553916, -0.20085047961146274, 0.0, 1.3877787807814457e-17, 0.055170550286831155, -0.0008827350729152528, 0.0, 0.0]","[-2.505321614974617, -0.20085047961146274, 0.0, 1.3877787807814457e-17, 0.055564235085706466, -0.0008827350729152083, 0.0, 0.0]","[-2.500689478205875, -0.20085047961146274, 0.0, 1.3877787807814457e-17, 0.05615476228401943, -0.0006726129963648964, 0.0, 0.0]","[-2.4866669203841596, -0.20085047961146274, 0.0, 1.3877787807814457e-17, 0.05638441175003002, -0.000184996367926127, 0.0, 0.0]","[-2.4773185485030162, -0.20085047961146274, 0.0, 1.3877787807814457e-17, 0.056537511394037086, -3.6637359812630174e-16, 0.0, 0.0]","[-2.4425960243730547, -0.20085047961146274, 0.0, 2.4980018054066032e-17, 0.05710616721463475, -3.3306690738754696e-16, 0.0, 0.0]","[-2.433915393340564, -0.20085047961146274, 0.0, 2.7755575615628914e-17, 0.05724833116978417, -2.3314683517128283e-16, 0.0, 0.0]","[-2.4238992806107675, -0.20085047961146252, 0.0, 2.7755575615628914e-17, 0.05741236650264887, -2.220446049250313e-16, 0.0, 0.0]",0,0.0,0.0,0.0,0,0.0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
